maxpool1,0.509894,0.509886,0.510097,0.510498,0.509555,0.50973,0.510022,0.509706,0.509822,0.508341,0.50809,0.508001,0.507674,0.508211,0.508792,0.508844,0.508804,0.50887,0.508757,0.508886,0.508814,0.5098,0.51045,0.510441,0.510934,0.510233,0.510419,0.510646,0.510371,0.510698,0.511123,0.511181,0.511086,0.511744,0.511772,0.512011,0.511481,0.511805,0.51223,0.512666,0.512754,0.511949,0.51214,0.51219,0.513085,0.512555,0.512902,0.511479,0.511466,0.511099,0.511275,0.51086,0.511117,0.511244,0.511368,0.511426,0.511226,0.511036,0.509814,0.510077,0.509743,0.509954,0.510177,0.510252,0.509826,0.509423,0.509534,0.508699,0.508432,0.508707,0.508631,0.50824,0.50826,0.507316,0.507458,0.506775,0.506218,0.506312,0.506956,0.506655,0.506185,0.505921,0.506836,0.50695,0.5068,0.507371,0.507305,0.507562,0.507033,0.506119,0.505853,0.505461,0.505434,0.505358,0.505245,0.504969,0.505023,0.50447,0.504365,0.504048,0.503665,0.503865,0.503977,0.503714,0.503658,0.503096,0.502988,0.50296,0.50279,0.502739,0.50318,0.502741,0.502682,0.502023,0.501737,0.502009,0.501479,0.501708,0.501712,0.501319,0.501685,
maxpool2,0.359563,0.359219,0.358738,0.359019,0.358022,0.358173,0.357998,0.357663,0.358243,0.358204,0.357896,0.358124,0.357906,0.35813,0.35792,0.358324,0.358112,0.358088,0.357255,0.357635,0.356905,0.357305,0.356773,0.357011,0.356642,0.356703,0.356512,0.35627,0.356252,0.356169,0.356262,0.356747,0.356431,0.356976,0.356349,0.356648,0.356036,0.356082,0.355851,0.356233,0.3561,0.356064,0.356292,0.357131,0.357437,0.357131,0.357246,0.356473,0.356533,0.356859,0.356785,0.356366,0.356703,0.356531,0.356482,0.356455,0.356793,0.357091,0.356516,0.35683,0.356837,0.356904,0.356608,0.356318,0.356621,0.356739,0.356312,0.356005,0.355876,0.355914,0.356007,0.355163,0.355608,0.355633,0.355539,0.355478,0.355206,0.355007,0.355475,0.355247,0.35561,0.355271,0.355353,0.355431,0.355121,0.355395,0.354739,0.354563,0.35464,0.354574,0.354556,0.354582,0.354968,0.354782,0.354231,0.354077,0.354308,0.354271,0.353768,0.353742,0.353451,0.353878,0.353866,0.353328,0.35325,0.353081,0.352976,0.353031,0.353222,0.353682,0.35383,0.353316,0.35344,0.353447,0.353382,0.353522,0.353708,0.353947,0.353476,0.353331,0.35417,
conv3,0.328463,0.328338,0.327933,0.328762,0.327771,0.328112,0.328093,0.327662,0.327914,0.327858,0.326838,0.327214,0.327161,0.327227,0.326701,0.326539,0.326468,0.325908,0.325467,0.325671,0.325252,0.324872,0.324059,0.323972,0.323329,0.324093,0.32366,0.324505,0.324525,0.324793,0.324498,0.324995,0.324874,0.325117,0.325408,0.326282,0.32523,0.325529,0.325538,0.325644,0.325574,0.32553,0.325541,0.326613,0.327564,0.326898,0.326568,0.326027,0.326095,0.326018,0.326279,0.326241,0.326329,0.325683,0.325803,0.325411,0.325441,0.325024,0.324679,0.325378,0.325177,0.325205,0.324515,0.324654,0.324849,0.324496,0.324838,0.324149,0.324803,0.324572,0.324467,0.32356,0.324327,0.324415,0.325066,0.32455,0.325294,0.325383,0.324771,0.325045,0.324961,0.324397,0.325015,0.324928,0.324828,0.324711,0.324674,0.324651,0.325079,0.324657,0.324945,0.324485,0.324732,0.324239,0.323715,0.323553,0.324276,0.323418,0.323577,0.32348,0.323378,0.323183,0.323141,0.322367,0.323179,0.322405,0.322729,0.322423,0.322711,0.322638,0.32291,0.322605,0.323433,0.322735,0.323096,0.323104,0.323424,0.322952,0.323481,0.322967,0.323625,
conv4,0.365959,0.366003,0.364914,0.365887,0.365487,0.364774,0.363991,0.364296,0.364944,0.364694,0.363468,0.364919,0.365519,0.365176,0.364501,0.364135,0.36475,0.364232,0.364208,0.364951,0.364544,0.363846,0.363715,0.364187,0.364289,0.365305,0.364496,0.366205,0.366454,0.366171,0.365838,0.366882,0.366938,0.36762,0.367575,0.368409,0.367089,0.367298,0.367209,0.366872,0.367846,0.366992,0.367253,0.368571,0.3695,0.368435,0.367647,0.367393,0.367175,0.367084,0.367537,0.368207,0.367636,0.366892,0.366072,0.366275,0.36673,0.366125,0.36515,0.366069,0.365268,0.364945,0.364209,0.364567,0.364937,0.364584,0.364873,0.364401,0.364446,0.363876,0.363379,0.363574,0.364053,0.363828,0.364036,0.363265,0.364422,0.364207,0.363102,0.363175,0.362855,0.362692,0.363358,0.363461,0.363267,0.363359,0.363375,0.364138,0.364632,0.364376,0.364349,0.363952,0.364191,0.363297,0.362942,0.363233,0.364254,0.363502,0.363254,0.363983,0.363595,0.363378,0.362907,0.362731,0.364105,0.363442,0.36362,0.363737,0.363897,0.363876,0.3641,0.36386,0.364783,0.364342,0.364607,0.365349,0.365027,0.36489,0.36507,0.365068,0.36563,
maxpool5,0.1765,0.17746,0.176782,0.177017,0.177376,0.175984,0.175162,0.175774,0.176665,0.176353,0.175893,0.176086,0.176361,0.17572,0.176072,0.174732,0.175829,0.174579,0.174645,0.175206,0.175235,0.175085,0.175445,0.176068,0.17604,0.177272,0.175714,0.176567,0.176854,0.176937,0.175776,0.175711,0.175614,0.17703,0.177035,0.177167,0.175903,0.176476,0.177028,0.177169,0.178827,0.178237,0.179111,0.179426,0.180752,0.179876,0.177834,0.176877,0.176834,0.175722,0.176277,0.177196,0.177007,0.176564,0.175955,0.176975,0.177284,0.177096,0.176606,0.178028,0.178275,0.177517,0.176271,0.176032,0.175416,0.175553,0.17529,0.175671,0.175551,0.174712,0.175594,0.175687,0.175785,0.175312,0.176504,0.1745,0.176558,0.175833,0.173918,0.172829,0.172065,0.171619,0.172684,0.172722,0.17183,0.171034,0.171144,0.172682,0.172581,0.172209,0.173836,0.173446,0.174118,0.172513,0.172608,0.172165,0.173849,0.172515,0.172009,0.17309,0.172207,0.171896,0.171871,0.170931,0.17268,0.171083,0.172384,0.172059,0.172635,0.171796,0.172753,0.171059,0.172039,0.171351,0.172038,0.172734,0.173391,0.172527,0.173151,0.174458,0.17566,
fc6,0.607297,0.606183,0.611371,0.609897,0.610194,0.608951,0.609424,0.608308,0.611301,0.606876,0.606554,0.604755,0.599702,0.600699,0.60489,0.604024,0.603975,0.603517,0.602593,0.603609,0.602738,0.601408,0.603633,0.603098,0.599621,0.602051,0.599098,0.597233,0.600289,0.600853,0.602619,0.600492,0.599058,0.602104,0.600394,0.6003,0.599592,0.599683,0.601871,0.605565,0.604977,0.606185,0.60776,0.607483,0.605508,0.605281,0.605865,0.607581,0.607944,0.608355,0.607392,0.608046,0.609547,0.606994,0.607809,0.608836,0.610785,0.611755,0.609795,0.608495,0.610433,0.611981,0.610886,0.611618,0.613981,0.615555,0.614557,0.614373,0.614308,0.613781,0.613919,0.615533,0.615258,0.614212,0.613063,0.612764,0.611901,0.611441,0.613057,0.612652,0.612896,0.614986,0.613311,0.614081,0.614754,0.61527,0.615546,0.61602,0.616921,0.616861,0.616852,0.617508,0.618558,0.616689,0.617398,0.618587,0.619535,0.61727,0.6159,0.618173,0.618814,0.617278,0.61828,0.618147,0.621281,0.617503,0.619303,0.616961,0.617333,0.615731,0.618422,0.615713,0.621582,0.618309,0.617349,0.614502,0.615089,0.611899,0.6127,0.613605,0.617027,
fc7,0.769004,0.768989,0.776624,0.775417,0.775622,0.776372,0.776979,0.776236,0.780689,0.777599,0.77614,0.777678,0.767805,0.771689,0.776949,0.77731,0.775194,0.774237,0.774304,0.778119,0.774603,0.774751,0.779459,0.778975,0.772724,0.77726,0.776335,0.774718,0.776326,0.777599,0.781904,0.778844,0.776162,0.778851,0.776906,0.776662,0.774679,0.776134,0.778243,0.780833,0.777066,0.777072,0.779037,0.777798,0.772468,0.772711,0.775658,0.776,0.774958,0.772442,0.774147,0.775844,0.775139,0.771465,0.777246,0.774647,0.775876,0.775268,0.775073,0.772345,0.774639,0.775638,0.777196,0.775732,0.778662,0.777676,0.777474,0.776855,0.775464,0.774373,0.776357,0.776515,0.776633,0.772828,0.77127,0.773028,0.770677,0.769655,0.772314,0.769579,0.769176,0.769524,0.771463,0.771062,0.771645,0.77126,0.774378,0.773375,0.773586,0.771718,0.770356,0.768859,0.769872,0.765798,0.769501,0.770498,0.77207,0.766613,0.766749,0.770057,0.770341,0.765313,0.766046,0.764798,0.771173,0.761224,0.765805,0.761018,0.760584,0.756155,0.76409,0.759514,0.770101,0.763695,0.765546,0.760097,0.759806,0.752436,0.757517,0.756401,0.757532,
fc8,0.932241,0.932413,0.937627,0.935853,0.936144,0.9385,0.940645,0.938993,0.941238,0.94046,0.939794,0.940298,0.933408,0.936904,0.94016,0.940076,0.938464,0.938159,0.93787,0.938614,0.936537,0.938114,0.94007,0.939738,0.935573,0.937545,0.938301,0.936654,0.936413,0.93882,0.940832,0.939535,0.937722,0.937383,0.936519,0.937471,0.935477,0.936744,0.93839,0.93826,0.934402,0.935125,0.935633,0.934898,0.931843,0.93409,0.937102,0.935947,0.935272,0.933991,0.935363,0.936472,0.934293,0.933888,0.938308,0.934501,0.933819,0.933972,0.934176,0.933004,0.933175,0.935349,0.937768,0.93753,0.936664,0.935937,0.937401,0.937051,0.935974,0.936853,0.938298,0.935955,0.937402,0.936353,0.937432,0.939132,0.937117,0.938176,0.940457,0.938671,0.937997,0.93689,0.94014,0.938632,0.938835,0.938587,0.941227,0.940236,0.939551,0.938685,0.938478,0.936591,0.938412,0.937148,0.939467,0.940096,0.940013,0.937112,0.93768,0.938762,0.937545,0.935305,0.935619,0.934591,0.938151,0.932666,0.935687,0.93191,0.931624,0.930726,0.935073,0.9325,0.938484,0.935306,0.936363,0.932904,0.933323,0.930268,0.93378,0.932244,0.932516,
